0	TKC000006
1	TKC000040
2	TKC000066
3	TKC000078
4	TKC000085
5	TKC000151
6	TKC000266
7	TKC000269
8	TKC000273
9	TKC000295
10	TKC000357
11	TKC000359
12	TKC000445
13	TKC000449
14	TKC000450
15	TKC000482
16	TKC000563
17	TKC000702
18	TKC000707
19	TKC000724
20	TKC000820
21	TKC000852
22	TKC000855
23	TKC000857
24	TKC000871
25	TKC000886
26	TKC000901
27	TKC000904
28	TKC000908
29	TKC000909
30	TKC000924
31	TKC000970
32	TKC000974
33	TKC000976
34	TKC000987
35	TKC001036
36	TKC001084
37	TKC001125
38	TKC001134
39	TKC001135
40	TKC001138
41	TKC001173
42	TKC001174
43	TKC001176
44	TKC001203
45	TKC001227
46	TKC001229
47	TKC001231
48	TKC001233
49	TKC001236
50	TKC001253
51	TKC001355
52	TKC001364
53	TKC001414
54	TKC001525
55	TKC001669
56	TKC001708
57	TKC001745
58	TKC001786
59	TKC001839
60	TKC001842
61	TKC001908
62	TKC001936
63	TKC002057
64	TKC002066
65	TKC002158
66	TKC002212
67	TKC002257
68	TKC002346
69	TKC002347
70	TKC002350
71	TKC002360
72	TKC002371
73	TKC002376
74	TKC002399
75	TKC002405
76	TKC002406
77	TKC002456
78	TKC002546
79	TKC002585
80	TKC002823
81	TKC002824
82	TKC002856
83	TKC002859
84	TKC002860
85	TKC002876
86	TKC002921
87	TKC002939
88	TKC003113
89	TKC003114
90	TKC003178
91	TKC003179
92	TKC003183
93	TKC003188
94	TKC003252
95	TKC003256
96	TKC003278
97	TKC003279
98	TKC003280
99	TKC003281
100	TKC003282
101	TKC003283
102	TKC003285
103	TKC003290
104	TKC003294
105	TKC003295
106	TKC003296
107	TKC003303
108	TKC003306
109	TKC003308
110	TKC003309
111	TKC003310
112	TKC003318
113	TKC003319
114	TKC003321
115	TKC003327
116	TKC003331
117	TKC003334
118	TKC003339
119	TKC003340
120	TKC003345
121	TKC003346
122	TKC003349
123	TKC003355
124	TKC003356
125	TKC003357
126	TKC003359
127	TKC003362
128	TKC003363
129	TKC003372
130	TKC003376
131	TKC003380
132	TKC003386
133	TKC003387
134	TKC003509
135	TKC003510
136	TKC003549
137	TKC003558
138	TKC003559
139	TKC003737
140	TKC003741
141	TKC003757
142	TKC003768
143	TKC003795
144	TKC003964
145	TKC004103
146	TKC004147
147	TKC004157
148	TKC004168
149	TKC004222
150	TKC004286
151	TKC004351
152	TKC004381
153	TKC004383
154	TKC004384
155	TKC004387
156	TKC004392
157	TKC004393
158	TKC004571
159	TKC004626
160	TKC004679
161	TKC004725
162	TKC004744
163	TKC004746
164	TKC004805
165	TKC004827
166	TKC004859
167	TKC004861
168	TKC004916
169	TKC004961
170	TKC004966
171	TKC004968
172	TKC004969
173	TKC004970
174	TKC004971
175	TKC004974
176	TKC004976
177	TKC004978
178	TKC005008
179	TKC005024
180	TKC005040
181	TKC005041
182	TKC005048
183	TKC005050
184	TKC005055
185	TKC005063
186	TKC005069
187	TKC005080
188	TKC005084
189	TKC005092
190	TKC005203
191	TKC005276
192	TKC005313
193	TKC005331
194	TKC005333
195	TKC005402
196	TKC005514
197	TKC005559
198	TKC005726
199	TKC005825
200	TKC005828
201	TKC005842
202	TKC005847
203	TKC006000
204	TKC006007
205	TKC006014
206	TKC006015
207	TKC006018
208	TKC006020
209	TKC006022
