id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC000909	C=C1C(=O)[C@@]23[C@H]4[C@@H](OC(C)=O)C[C@@H]1[C@H]2O[C@H]1O[C@@]3(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@@]142	2	7	10	14	17	22	25	30	33	40
TKC000924	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H](C)[C@]23CC[C@@]2(CCO[C@H]2O)O3)C1(C)C	1	8	10	14	17	22	25	30	33	40
TKC000970	C[C@@H]1C(=O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@@]12CC[C@]1(C=COC1)O2	1	8	10	14	17	21	25	29	33	40
TKC000974	C=C(C)[C@H]1C/C2=C(\C(=O)OC)[C@@H]3O[C@@](C)(CC3=O)C[C@@H]3C=C(C(=O)O3)[C@H](C1)O2	1	7	10	14	17	22	25	30	33	38
TKC000976	COC(=O)[C@@H]1CC[C@]2(C)[C@H](CC[C@H]3O[C@]32C)[C@@]1(C)CC(=O)c1ccoc1	1	7	10	14	17	22	25	30	34	39
TKC000987	C=C1C(=O)[C@@]23C[C@@H]1C[C@H]1O[C@@H]4OC[C@]5([C@H](CCC(C)(C)[C@@H]45)OC2=O)[C@H]13	1	6	10	14	17	22	25	30	33	40
TKC001036	CC(=O)OCC12C(OC(C)=O)C[C@@H](C)C3(CC(c4ccoc4)OC3=O)C1CCC(O)C21CO1	2	7	10	14	17	22	25	31	34	39
TKC001084	C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@@]12CCC[C@@]4(C)CO[C@H]1O[C@@]3(O)[C@@H](O)[C@H]42	1	7	10	14	18	22	25	30	33	40
TKC001125	C=C1C[C@@H](O)[C@@H]2O[C@@]2(C)CC[C@@H]2C([C@@H](OC(C)=O)[C@H](C=C(C)C)OC(C)=O)=CO[C@H](OC(C)=O)[C@@H]12	2	6	10	14	17	22	26	31	33	39
TKC001134	CC(C)C1=CC(=O)C2=C(CC[C@@H]3[C@]2(C)CC[C@H](O)[C@]3(C)CO)C1=O	1	8	10	14	17	21	25	30	33	39
TKC001135	CC(C)C1=CC(=O)C2=C(CC[C@H]3[C@@](C)(CO)C(=O)CC[C@]23C)C1=O	1	8	10	14	17	21	25	30	33	39
TKC001138	CC(=O)O[C@@H]1C[C@H]2C(C)(C)CCC[C@]2(C)C2=C1C(=O)C(C(C)C)=C(O)C2=O	1	7	10	14	17	22	25	30	33	39
TKC001173	CO[C@@]12OC(=O)C(C)=C1C=C1CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]1[C@H]2O	1	8	10	14	17	21	25	29	33	39
TKC001174	CC1=C2[C@@H](O)C3=CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]3[C@@H](O)[C@H]2OC1=O	1	7	10	14	17	21	25	30	33	39
TKC001176	CC1=C2C(=O)C3=C([C@@H](O)[C@H]2OC1=O)[C@]1(C)CCCC(C)(C)[C@H]1CC3	1	8	10	14	17	21	25	30	33	39
TKC001203	COc1cc2c(cc1C(C)C)C(=O)C=C1C(C)(C)CCC[C@@]12C	1	8	11	14	17	21	25	29	34	38
TKC001227	CC(C)c1cc2c(cc1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@@H]2O	1	8	10	14	17	21	25	30	34	39
TKC001229	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O	1	7	10	14	17	21	25	30	34	39
TKC001231	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3	1	8	10	14	17	21	25	29	34	39
