id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC050188	CC1(C)CC[C@@]2(C(=O)O)[C@@H](C1)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O[C@@H]5OC[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O	4	5	9	16	20	24	27	32	33	40
TKC050210	CC1(C)CC[C@@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C1)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O	3	5	9	16	20	24	26	32	33	40
TKC050217	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)C[C@]45C)C3(C)C)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O	4	5	9	16	20	24	28	32	33	40
TKC050218	CC1(C)CC[C@@]2(C(=O)O)[C@@H](C1)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O	3	5	10	15	19	23	25	31	33	40
TKC050221	CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)CC[C@H](OC7OC(C(=O)O)C(O)C(O)C7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(OC2OCC(O)(CO)C2O)C1OC1OCC(O)C(O)C1O	4	5	9	16	20	24	27	32	33	40
TKC050245	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OC[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	26	32	33	40
TKC050429	C/C=C(/C)C(=O)O[C@@H]1CC(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O	2	6	11	15	17	22	25	30	33	40
TKC050432	C/C=C(/C)C(=O)O[C@@H]1CC(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O	2	6	11	15	17	22	25	30	33	40
TKC050434	CC(C)=CC(=O)O[C@@H]1CC(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O	2	6	11	15	17	22	25	30	33	40
TKC050450	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1	3	5	10	15	19	22	26	31	33	40
TKC050473	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(COC(=O)/C=C/c6ccc(O)cc6)[C@@H]5CC[C@]43C)[C@@H]2C1	3	5	12	15	18	22	26	30	34	39
TKC050547	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(COC(=O)/C=C/c4ccc(O)c(O)c4)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)/C=C/c6ccc(O)c(O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1	3	5	12	15	18	23	26	31	35	38
TKC050775	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@@H]5C[C@@H]6O[C@]7(CC[C@@H](C)CO7)[C@@H](C)[C@@H]6[C@@]5(C)CC[C@@H]43)C2)[C@H](O)[C@H](O)[C@H]1O	3	6	10	15	19	23	26	31	33	40
TKC050944	CC(=O)O[C@@H]1C[C@@]23C[C@@]24CC[C@H](O)C(C)(C)[C@@H]4CC[C@H]3[C@]2(C)C[C@@H]3OC(=O)C[C@@H](C)[C@@H]3[C@@]12C	2	7	10	14	17	22	25	30	33	40
TKC051021	C[C@H](CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O	2	7	10	14	18	22	26	31	33	40
TKC051027	COC(=O)[C@H](C)CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O	2	7	10	14	17	22	26	30	33	40
TKC051029	C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O	2	7	10	14	18	22	26	31	33	40
TKC051145	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H]([C@H](O)C[C@]3(C)[C@@H]2CC=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C(=O)O)C1(C)C	2	6	11	14	17	22	25	30	33	40
TKC051154	CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O	2	7	11	14	17	22	25	30	33	40
TKC051405	C/C(=C\C=C\C(C)=C1\C(=O)C[C@@H]2[C@]1(C)CC[C@H]1C(C)(C)C(=O)CC[C@]21C)c1ccc(C)c(=O)o1	2	6	11	14	17	21	25	30	34	38
TKC051406	CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC(=O)/C(=C(C)/C=C/C=C(\C)c4ccc(C)c(=O)o4)[C@@]3(C)CC[C@H]2C1(C)C	2	6	11	14	17	22	25	30	34	38
TKC051407	CC(/C=C/C=C(\C)c1ccc(C)c(=O)o1)=C1/C(=O)C[C@@H]2[C@]1(C)CC[C@H]1C(C)(C)C(=O)CC[C@]21C	2	6	11	14	17	21	25	30	34	38
TKC051475	CC(C)=CC1C[C@H](C2CC=C3[C@@]2(C)CCC2[C@@]3(C)C(=O)CC3[C@@](C)(CO)C(=O)C=C[C@@]32C)CO1	2	7	11	14	17	21	25	30	33	39
TKC051546	CC[C@H](C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)C[C@]23OC2(C)O[C@@]34[C@H](OC(=O)C(C)C)C3(O)[C@@H](OC(=O)[C@@]5(C)O[C@@H]5C)C5(C)C[C@]3(O)[C@](C)([C@H]5CC(=O)OC)[C@@]14O2	3	5	10	15	17	24	27	32	34	39
TKC051551	CC1=CC(C)(C)[C@H]2O[C@@]3(O)C[C@@]4(C)[C@H](c5ccoc5)O[C@]5(C(C)C)C[C@H]4[C@@]4(C3)O[C@@]1(O)[C@@]2(O)[C@H]4O5	2	7	10	14	18	22	25	30	34	39
TKC051567	CC(=O)O[C@H]1CC[C@@]2(C)[C@@]3(OC[C@@H](OO3)[C@@]3(C)[C@@]4(C)CC[C@@]5(C)CCC(C)(C)C[C@H]5[C@]4(C)CC[C@]32C)C1(C)C	2	6	12	15	17	22	25	29	33	40
TKC051589	CO[C@@H]1O[C@@H]([C@H](O)C(C)(C)O)C[C@H]1[C@H]1CC=C2[C@@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@H](OC(C)=O)C(C)(C)[C@@H]3C[C@@H](O)[C@@]21C	2	6	11	15	18	22	26	30	33	40
TKC051599	CO[C@H]1O[C@@H]([C@H](O)C(C)(C)O)C[C@H]1[C@H]1CC=C2[C@@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@H](OC(C)=O)C(C)(C)[C@@H]3C[C@@H](O)[C@@]21C	2	6	11	15	18	22	26	30	33	40
TKC051617	CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C[C@@H](O)[C@@]3(C)C4=CC[C@H]([C@H]5COC(C)(C)[C@@H](O)[C@H](O)C5)[C@]4(C)CC[C@H]23)C1(C)C	2	6	11	14	18	22	25	30	33	40
TKC051618	CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C[C@@H](OC(C)=O)[C@@]3(C)C4=CC[C@H]([C@H]5COC(C)(C)[C@@H](O)[C@H](O)C5)[C@]4(C)CC[C@H]23)C1(C)C	2	6	11	15	17	22	25	30	33	40
TKC051718	CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35C[C@@H](O)[C@]2(C)[C@H]1[C@]1(C)CC[C@H](C(C)(C)O)O1	2	7	10	15	18	22	25	31	33	40
TKC051753	CC(=O)O[C@H]1[C@H](O)CO[C@@H](O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@@]6(C)CC[C@@H](C(C)(C)O)O6)[C@@H](O)C[C@@]3(C)[C@@H]5C[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H]4C2(C)C)[C@@H]1O[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O	3	5	10	15	20	24	26	32	33	40
TKC052015	CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CCC(=O)[C@@](C)(CO)[C@@H]4CC[C@]23C)O1	2	7	11	14	17	21	25	30	33	40
TKC052067	CC(C)=C[C@H]1C[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4C(=O)C=C5[C@@H](CC[C@H](O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	2	7	10	14	17	22	25	30	33	40
TKC052069	CC(=O)OC1CCC2C(=CCC3C2(C)C(=O)CC2(C)C(C4(C)OC(C(C)C)=CC4=O)C(O)CC32C)C1(C)C	2	6	11	14	17	22	25	30	33	39
TKC052111	CC(C)=C[C@@H]1O[C@H](O)[C@@H]([C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)C(=O)CC[C@@]56C[C@@]46CC[C@]23C)[C@@H]1O	2	7	11	14	17	21	25	30	33	40
TKC052175	CCC(=O)[C@@H]1C[C@@H](C)[C@]2(CC(=O)[C@@]3(C)C4=C(CC[C@@]32C)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5OC[C@](O)(CO)[C@H]5O)[C@@H](O)[C@H](O)[C@H]3O)[C@](C)(CO)[C@@H]2CC4)O1	4	5	9	16	20	24	27	32	33	40
TKC052179	CCC(=O)[C@@H]1C[C@@H](C)[C@]2(CC(=O)[C@@]3(C)C4=C(CC[C@@]32C)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]3O)[C@](C)(CO)[C@@H]2CC4)O1	4	5	9	16	20	24	28	32	33	40
TKC052207	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CCC5=C6CC[C@H]([C@H](C)CC(=O)C=C(C)C)[C@@]6(C)CC[C@@]4(O)O5)C3(C)C)OC[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@@H]2O)O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	4	5	9	16	20	24	28	32	33	40
TKC052222	CC(C)=CC(=O)O[C@@H]1CC(C)(C)C[C@H]2C3=CC[C@@H]4[C@]56CC[C@](O)(OC5)C(C)(C)[C@@H]6CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O	2	6	11	15	17	22	25	30	33	40
TKC052348	CC(=O)O[C@@H]1CC[C@]23C[C@@]24CC[C@@]2(C)[C@@](C)(CC[C@]25O[C@]2(C[C@@H](C)C(=O)O2)C[C@H]5C)[C@H]4CC[C@H]3C1(C)C	2	6	11	14	17	22	25	30	33	40
TKC052349	C[C@@H]1C[C@]2(C[C@@H](C)[C@]3(CC[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)[C@H](O)CC[C@@]67C[C@@]57CC[C@@]43C)O2)OC1=O	2	7	11	14	17	21	25	29	33	40
TKC052363	C[C@@H]1C[C@@]2(C[C@@H](C)[C@@]3(CC[C@@]4(C)C5=CC[C@H]6C(C)(C)[C@H](O)CC[C@]6(C)[C@@H]5CC[C@@]43C)O2)OC1=O	2	6	11	14	17	21	25	29	33	40
TKC052365	C[C@@H]1C[C@@]2(C[C@@H](C)[C@@]3(CC[C@@]4(C)C5=CC[C@H]6C(C)(C)C(=O)CC[C@]6(C)[C@@H]5CC[C@@]43C)O2)OC1=O	2	6	11	14	17	21	25	29	33	40
TKC052430	CO[C@H]1O[C@]2(C=C(C)C(=O)O2)C[C@@H]1[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)C=C[C@@]45C[C@@]35CC[C@]12C	2	7	11	14	17	22	25	30	33	40
TKC052463	C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H](CC(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)OC(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	3	6	10	15	18	23	26	31	33	40
TKC052484	COC(=O)/C(C)=C/[C@H]1C[C@@H](C)[C@]2(C)[C@@H](C=C3C4=C(CC[C@]32C)[C@@]2(C)CC[C@@H](O)C(C)(C)[C@@H]2CC4)O1	2	6	11	14	17	21	25	29	33	39
TKC052519	CC(C)(O)[C@H](O)CC[C@@H](CO)[C@H]1CC[C@@]2(C)[C@]34O[C@H]3C[C@H]3C(C)(C)[C@@H](O)[C@H](O)C[C@]3(C)C4=C[C@H](O)[C@]12C	2	6	10	14	19	22	26	31	33	40
TKC052537	CC(=O)O[C@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@]1(C)CC[C@H]([C@H]2CC[C@H](C(C)(C)O)OC2)[C@@]1(C)C[C@H]3O	2	6	11	14	17	22	25	30	33	40
TKC052570	CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@@H]3[C@@H](O)[C@@]4(C)C5=CC[C@@H](c6ccoc6)[C@]5(C)CC[C@@H]4[C@]1(C)[C@@H]32	2	7	10	14	17	22	25	30	34	39
TKC052574	CCC(=O)O[C@@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H]3CC[C@]4(C)C(=CC[C@H]4c4ccoc4)[C@]3(C)[C@H](O)[C@@H]3OC[C@@]1(C)[C@H]32	2	7	11	14	17	22	25	30	34	39
TKC052608	CC1(C)[C@@H](O[C@@H]2OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC[C@]23OC[C@@]4(CC[C@](C)(CO)C[C@H]42)[C@H](O)C[C@]31C	3	5	9	15	20	24	26	32	33	40
TKC052617	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CCC(C)(C)C[C@H]85)C(=O)C[C@]76C)C4(C)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052620	CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC2=O)[C@@H]3C1	4	5	9	16	20	24	27	32	33	40
TKC052625	CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC[C@]46OC[C@@]7(CCC(C)(C)C[C@H]74)[C@H](O)C[C@]65C)C3(C)C)OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052626	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CCC(C)(C)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	3	5	10	15	20	24	26	32	33	40
TKC052632	CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC[C@]46OC[C@@]7(CCC(C)(C)C[C@H]74)[C@H](O)C[C@]65C)C3(C)C)OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052634	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CCC(C)(C)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052635	CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)C[C@H]2O)[C@@H]3C1	3	5	10	15	20	24	26	32	33	40
TKC052636	CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)C[C@H]2O)[C@@H]3C1	4	5	9	16	20	24	27	32	33	40
TKC052667	CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)C[C@H]2O)[C@@H]3CC1(C)C	4	5	9	16	20	24	27	32	33	40
TKC052707	CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]4(C)CC2=O)[C@@H]3C1	3	5	10	15	19	23	26	32	33	40
TKC052712	CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]4(C)CC2=O)[C@@H]3C1	3	5	10	15	20	24	26	32	33	40
TKC052723	CC1(C)[C@@H](O[C@@H]2OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC[C@]23OC[C@@]4(CC[C@](C)(C=O)C[C@H]42)[C@H](O)C[C@]31C	3	5	10	15	20	24	26	32	33	40
TKC052724	CC(=O)OC[C@@]1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)C[C@H]2O)[C@@H]3C1	4	5	9	16	20	24	28	32	33	40
TKC052740	CC1(C)[C@@H](O[C@@H]2OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC[C@]23OC[C@@]4(CC[C@](C)(C=O)C[C@H]42)[C@H](O)C[C@]31C	4	5	9	16	20	24	27	32	33	40
TKC052744	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CC[C@](C)(C=O)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	28	32	33	40
TKC052746	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CC[C@](C)(C=O)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	3	5	10	15	20	24	26	32	33	40
TKC052748	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CC[C@](C)(C=O)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052753	CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC[C@]46OC[C@@]7(CC[C@](C)(C=O)C[C@H]74)[C@H](O)C[C@]65C)C3(C)C)OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	4	5	9	16	20	24	27	32	33	40
TKC052754	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](O[C@H]3CO[C@@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC[C@]57OC[C@@]8(CC[C@](C)(C=O)C[C@H]85)[C@H](O)C[C@]76C)C4(C)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	4	5	9	16	20	24	27	32	33	40
