TKC000702	C[C@@]12CC[C@@H]3C(=C[C@H]4OC(=O)[C@]5(C)[C@H]4[C@]34CC[C@@]5(O)OC4)[C@@H]1OC[C@H]2O
TKC000707	C[C@H]1Cc2c(O)c3c(c(O)c2O1)[C@@]1(C)CCC(=O)C(C)(C)C1=C(O)C3=O
TKC000724	C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@]12CO[C@@H]4OC[C@](C)(CC[C@@H]1OC3=O)[C@@H]42
TKC000820	C=C1CCc2occ(C)c2C2C1C1=C(CC(C)C1=O)C1OC12C
TKC000852	C[C@]12C(=O)O[C@@H]3C[C@H]4C5=C(CC[C@H]4[C@@]4(CC[C@@]1(O)OC4)[C@@H]32)C(=O)CO5
TKC000855	CC(=O)OCC1([C@H]2Cc3oc(cc3C=O)[C@H]3O[C@]3(C)C[C@@H]3OC(=O)[C@]4(O[C@@H]34)[C@H](OC(C)=O)C2)CO1
TKC000857	CC(=O)O[C@@H]1C[C@@H](C2(C)CO2)Cc2oc(cc2C=O)[C@H]2O[C@]2(C)C[C@@H]2OC(=O)[C@]13O[C@@H]23
TKC000871	C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@]1(COC3=O)[C@H]2CC[C@@]3(C)CO[C@@H](O2)[C@@H]13
TKC000886	C=C(C=O)[C@H]1CC(=O)[C@@H](C(=O)OC)[C@@H]2O[C@@](C)(CC2=O)C[C@@H]2OC(=O)[C@]3(O[C@@H]23)[C@@H](OC(C)=O)C1
TKC000901	C=C1C(=O)[C@@]23[C@H]4CC[C@@H]1[C@H]2O[C@H]1O[C@@]3(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@@]142
TKC000904	C=C1C(=O)[C@@]23[C@H]4CC[C@@H]1[C@H]2OC1O[C@@]3(O)[C@@H](O)[C@@H]2C(C)(C)CC[C@@H](O)[C@@]142
TKC000908	C=C1C(=O)[C@@]23[C@H]4[C@@H](O)C[C@@H]1[C@H]2O[C@H]1O[C@@]3(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@@]142
TKC000909	C=C1C(=O)[C@@]23[C@H]4[C@@H](OC(C)=O)C[C@@H]1[C@H]2O[C@H]1O[C@@]3(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@@]142
TKC000924	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H](C)[C@]23CC[C@@]2(CCO[C@H]2O)O3)C1(C)C
TKC000970	C[C@@H]1C(=O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@@]12CC[C@]1(C=COC1)O2
TKC000974	C=C(C)[C@H]1C/C2=C(\C(=O)OC)[C@@H]3O[C@@](C)(CC3=O)C[C@@H]3C=C(C(=O)O3)[C@H](C1)O2
TKC000976	COC(=O)[C@@H]1CC[C@]2(C)[C@H](CC[C@H]3O[C@]32C)[C@@]1(C)CC(=O)c1ccoc1
TKC000987	C=C1C(=O)[C@@]23C[C@@H]1C[C@H]1O[C@@H]4OC[C@]5([C@H](CCC(C)(C)[C@@H]45)OC2=O)[C@H]13
TKC001036	CC(=O)OCC12C(OC(C)=O)C[C@@H](C)C3(CC(c4ccoc4)OC3=O)C1CCC(O)C21CO1
TKC001084	C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@@]12CCC[C@@]4(C)CO[C@H]1O[C@@]3(O)[C@@H](O)[C@H]42
TKC001125	C=C1C[C@@H](O)[C@@H]2O[C@@]2(C)CC[C@@H]2C([C@@H](OC(C)=O)[C@H](C=C(C)C)OC(C)=O)=CO[C@H](OC(C)=O)[C@@H]12
TKC001134	CC(C)C1=CC(=O)C2=C(CC[C@@H]3[C@]2(C)CC[C@H](O)[C@]3(C)CO)C1=O
